// NONPREADJUSTED FINAL,,,,// PREADJUSTED FINAL,,
Weight (N)*,Altitude (feet) ,ROC (feet/min),,Weight (N)*,Altitude (feet) ,ROC (feet/min)*
2234130.642,35,2357,,2234130.642,35,2168.44
2233923.179,198,2349,,2233906.861,198,2161.08
2233714.737,361,2341,,2233682.022,361,2153.72
2233507.297,523,2333,,2233458.264,523,2146.36
2233299.837,686,2325,,2233234.486,686,2139
2233091.396,849,2317,,2233009.649,849,2131.64
2232883.937,1012,2309,,2232785.871,1012,2124.28
2232676.5,1174,2301,,2232562.116,1174,2116.92
2232468.061,1337,2293,,2232337.282,1337,2109.56
2232260.604,1500,2285,,2232113.507,1500,2102.2
2230757.266,1500,2993,,2230489.902,1500,2753.56
2230332.912,1947,2967,,2230032.363,1947,2729.64
2229909.52,2395,2941,,2229575.866,2395,2705.72
2229486.153,2842,2914,,2229119.395,2842,2680.88
2229061.81,3289,2888,,2228661.868,3289,2656.96
2228637.448,3737,2861,,2228204.324,3737,2632.12
2228213.112,4184,2834,,2227746.805,4184,2607.28
2227788.758,4632,2807,,2227289.268,4632,2582.44
2227363.448,5079,2779,,2226830.698,5079,2556.68
2226938.142,5526,2750,,2226372.132,5526,2530
2226511.837,5974,2720,,2225912.489,5974,2502.4
2226085.557,6421,2690,,2225452.871,6421,2474.8
2225657.32,6868,2659,,2224991.139,6868,2446.28
2225229.065,7316,2629,,2224529.39,7316,2418.68
2224799.855,7763,2598,,2224066.607,7763,2390.16
2224368.666,8211,2566,,2223601.689,8211,2360.72
2223937.501,8658,2534,,2223136.796,8658,2331.28
2223504.379,9105,2502,,2222669.788,9105,2301.84
2223070.259,9553,2470,,2222201.705,9553,2272.4
2222634.203,10000,2437,,2221731.529,10000,2242.04
2221328.082,10000,2569,,2220320.918,10000,2363.48
2220192.029,11180,2473,,2219095.998,11180,2275.16
2219041.293,12360,2375,,2217855.221,12360,2185
2217873.913,13540,2275,,2216596.469,13540,2093
2216686.95,14720,2174,,2215316.565,14720,2000.08
2215479.422,15900,2077,,2214014.453,15900,1910.84
2214249.369,17080,1986,,2212688.014,17080,1827.12
2212994.853,18259,1893,,2211335.152,18259,1741.56
2211711.91,19439,1800,,2209951.591,19439,1656
2210397.621,20619,1709,,2208534.176,20619,1572.28
2209050.026,21799,1620,,2207080.791,21799,1490.4
2207664.223,22979,1531,,2205586.141,22979,1408.52
2206235.313,24159,1444,,2204044.935,24159,1328.48
2204757.413,25339,1357,,2202450.82,25339,1248.44
2203224.643,26519,1264,,2200797.446,26519,1162.88
2201624.259,27699,1172,,2199071.049,27699,1078.24
2199947.441,28879,1081,,2197262.102,28879,994.52
2198179.485,30059,991,,2195354.727,30059,911.72
2196291.963,31239,887,,2193318.22,31239,816.04
2194248.627,32418,787,,2191113.433,32418,724.04
2194248.627,32418,1146,,2191113.433,32418,1054.32
2194012.315,32607,1126,,2190858.538,32607,1035.92
2193774.063,32795,1106,,2190601.548,32795,1017.52
2193531.87,32984,1086,,2190340.303,32984,999.12
2193287.738,33172,1065,,2190076.962,33172,979.8
2193040.645,33361,1044,,2189810.424,33361,960.48
2192790.633,33549,1023,,2189540.732,33549,941.16
2192536.679,33738,1001,,2189266.786,33738,920.92
2192278.826,33926,979,,2188988.625,33926,900.68
2192018.012,34115,956,,2188707.269,34115,879.52
2191751.337,34303,933,,2188419.582,34303,858.36
2191480.721,34492,909,,2188127.64,34492,836.28
2191205.226,34680,885,,2187830.426,34680,814.2
2190923.828,34869,860,,2187526.84,34869,791.2
2190636.571,35057,834,,2187216.923,35057,767.28
