// NON PREADJUSTED,,,,
WGT,WGT^2,ALT,ALT^2,ROC
2234130.642,4.99134E+12,35,1225,2357
2233923.179,4.99041E+12,198,39204,2349
2233714.737,4.98948E+12,361,130321,2341
2233507.297,4.98855E+12,523,273529,2333
2233299.837,4.98763E+12,686,470596,2325
2233091.396,4.98670E+12,849,720801,2317
2232883.937,4.98577E+12,1012,1024144,2309
2232676.5,4.98484E+12,1174,1378276,2301
2232468.061,4.98391E+12,1337,1787569,2293
2232260.604,4.98299E+12,1500,2250000,2285
2230757.266,4.97628E+12,1500,2250000,2993
2230332.912,4.97438E+12,1947,3790809,2967
2229909.52,4.97250E+12,2395,5736025,2941
2229486.153,4.97061E+12,2842,8076964,2914
2229061.81,4.96872E+12,3289,10817521,2888
2228637.448,4.96682E+12,3737,13965169,2861
2228213.112,4.96493E+12,4184,17505856,2834
2227788.758,4.96304E+12,4632,21455424,2807
2227363.448,4.96115E+12,5079,25796241,2779
2226938.142,4.95925E+12,5526,30536676,2750
2226511.837,4.95735E+12,5974,35688676,2720
2226085.557,4.95546E+12,6421,41229241,2690
2225657.32,4.95355E+12,6868,47169424,2659
2225229.065,4.95164E+12,7316,53523856,2629
2224799.855,4.94973E+12,7763,60264169,2598
2224368.666,4.94782E+12,8211,67420521,2566
2223937.501,4.94590E+12,8658,74960964,2534
2223504.379,4.94397E+12,9105,82901025,2502
2223070.259,4.94204E+12,9553,91259809,2470
2222634.203,4.94010E+12,10000,100000000,2437
2221328.082,4.93430E+12,10000,100000000,2569
2220192.029,4.92925E+12,11180,124992400,2473
2219041.293,4.92414E+12,12360,152769600,2375
2217873.913,4.91896E+12,13540,183331600,2275
2216686.95,4.91370E+12,14720,216678400,2174
2215479.422,4.90835E+12,15900,252810000,2077
2214249.369,4.90290E+12,17080,291726400,1986
2212994.853,4.89735E+12,18259,333391081,1893
2211711.91,4.89167E+12,19439,377874721,1800
2210397.621,4.88586E+12,20619,425143161,1709
2209050.026,4.87990E+12,21799,475196401,1620
2207664.223,4.87378E+12,22979,528034441,1531
2206235.313,4.86747E+12,24159,583657281,1444
2204757.413,4.86096E+12,25339,642064921,1357
2203224.643,4.85420E+12,26519,703257361,1264
2201624.259,4.84715E+12,27699,767234601,1172
2199947.441,4.83977E+12,28879,833996641,1081
2198179.485,4.83199E+12,30059,903543481,991
2196291.963,4.82370E+12,31239,975875121,887
2194248.627,4.81473E+12,32418,1050926724,787
2194248.627,4.81473E+12,32418,1050926724,1146
2194012.315,4.81369E+12,32607,1063216449,1126
2193774.063,4.81264E+12,32795,1075512025,1106
2193531.87,4.81158E+12,32984,1087944256,1086
2193287.738,4.81051E+12,33172,1100381584,1065
2193040.645,4.80943E+12,33361,1112956321,1044
2192790.633,4.80833E+12,33549,1125535401,1023
2192536.679,4.80722E+12,33738,1138252644,1001
2192278.826,4.80609E+12,33926,1150973476,979
2192018.012,4.80494E+12,34115,1163833225,956
2191751.337,4.80377E+12,34303,1176695809,933
2191480.721,4.80259E+12,34492,1189698064,909
2191205.226,4.80138E+12,34680,1202702400,885
2190923.828,4.80015E+12,34869,1215847161,860
2190636.571,4.79889E+12,35057,1228993249,834
2190342.431,4.79760E+12,35246,1242280516,803
2190038.51,4.79627E+12,35434,1255568356,771
2189725.746,4.79490E+12,35623,1268998129,738
2189401.24,4.79348E+12,35811,1282427721,704
2189063.97,4.79200E+12,36000,1296000000,669
1972316.547,3.89003E+12,36000,1296000000,1013
1972178.301,3.88949E+12,36105,1303571025,899
1972032.193,3.88891E+12,36211,1311236521,883
1971883.164,3.88832E+12,36316,1318851856,867
1971733.154,3.88773E+12,36421,1326489241,850
1971581.184,3.88713E+12,36526,1334148676,834
1971426.255,3.88652E+12,36632,1341903424,817
1971269.384,3.88590E+12,36737,1349607169,800
1971109.572,3.88527E+12,36842,1357332964,783
1970947.8,3.88464E+12,36947,1365080809,765
1970783.069,3.88399E+12,37053,1372924809,748
1970615.416,3.88333E+12,37158,1380716964,730
1970443.842,3.88265E+12,37263,1388531169,713
1970270.307,3.88197E+12,37368,1396367424,695
1970091.853,3.88126E+12,37474,1404300676,676
