WGT,WGT^2,WGT^3,WGT^4,WGT^5,WGT^6,WGT^7,WGT^8,ALT,ALT^2,ALT^3,ALT^4,ALT^5,ALT^6,ALT^7,ALT^8,ROC
2234130.642,4.99134E+12,1.11513E+19,2.49135E+25,5.566E+31,1.24352E+38,2.77818E+44,6.20681E+50,35,1225,42875,1500625,52521875,1838265625,64339296875,2.25188E+12,2357
2233923.179,4.99041E+12,1.11482E+19,2.49042E+25,5.56341E+31,1.24282E+38,2.77637E+44,6.2022E+50,198,39204,7762392,1536953616,3.04317E+11,6.02547E+13,1.19304E+16,2.36223E+18,2349
2233714.737,4.98948E+12,1.11451E+19,2.48949E+25,5.56082E+31,1.24213E+38,2.77456E+44,6.19757E+50,361,130321,47045881,16983563041,6.13107E+12,2.21331E+15,7.99007E+17,2.88441E+20,2341
2233507.297,4.98855E+12,1.1142E+19,2.48857E+25,5.55823E+31,1.24144E+38,2.77276E+44,6.19297E+50,523,273529,143055667,74818113841,3.91299E+13,2.04649E+16,1.07032E+19,5.59775E+21,2333
2233299.837,4.98763E+12,1.11389E+19,2.48764E+25,5.55565E+31,1.24074E+38,2.77095E+44,6.18837E+50,686,470596,322828856,2.21461E+11,1.51922E+14,1.04218E+17,7.14939E+19,4.90448E+22,2325
2233091.396,4.9867E+12,1.11358E+19,2.48671E+25,5.55306E+31,1.24005E+38,2.76914E+44,6.18375E+50,849,720801,611960049,5.19554E+11,4.41101E+14,3.74495E+17,3.17946E+20,2.69936E+23,2317
2232883.937,4.98577E+12,1.11326E+19,2.48579E+25,5.55048E+31,1.23936E+38,2.76734E+44,6.17916E+50,1012,1024144,1036433728,1.04887E+12,1.06146E+15,1.07419E+18,1.08709E+21,1.10013E+24,2309
2232676.5,4.98484E+12,1.11295E+19,2.48487E+25,5.5479E+31,1.23867E+38,2.76554E+44,6.17457E+50,1174,1378276,1618096024,1.89964E+12,2.23018E+15,2.61823E+18,3.07381E+21,3.60865E+24,2301
2232468.061,4.98391E+12,1.11264E+19,2.48394E+25,5.54532E+31,1.23797E+38,2.76374E+44,6.16996E+50,1337,1787569,2389979753,3.1954E+12,4.27225E+15,5.712E+18,7.63695E+21,1.02106E+25,2293
2232260.604,4.98299E+12,1.11233E+19,2.48302E+25,5.54274E+31,1.23728E+38,2.76194E+44,6.16537E+50,1500,2250000,3375000000,5.0625E+12,7.59375E+15,1.13906E+19,1.70859E+22,2.56289E+25,2285
2230757.266,4.97628E+12,1.11009E+19,2.47633E+25,5.5241E+31,1.23229E+38,2.74895E+44,6.13223E+50,1500,2250000,3375000000,5.0625E+12,7.59375E+15,1.13906E+19,1.70859E+22,2.56289E+25,2993
2230332.912,4.97438E+12,1.10945E+19,2.47445E+25,5.51885E+31,1.23089E+38,2.74529E+44,6.12291E+50,1947,3790809,7380705123,1.43702E+13,2.79788E+16,5.44748E+19,1.06062E+23,2.06504E+26,2967
2229909.52,4.9725E+12,1.10882E+19,2.47257E+25,5.51361E+31,1.22949E+38,2.74164E+44,6.11361E+50,2395,5736025,13737779875,3.2902E+13,7.88002E+16,1.88727E+20,4.52E+23,1.08254E+27,2941
2229486.153,4.97061E+12,1.10819E+19,2.47069E+25,5.50838E+31,1.22809E+38,2.738E+44,6.10433E+50,2842,8076964,22954731688,6.52373E+13,1.85405E+17,5.2692E+20,1.49751E+24,4.25591E+27,2914
2229061.81,4.96872E+12,1.10756E+19,2.46881E+25,5.50314E+31,1.22668E+38,2.73435E+44,6.09504E+50,3289,10817521,35578826569,1.17019E+14,3.84875E+17,1.26585E+21,4.16339E+24,1.36934E+28,2888
2228637.448,4.96682E+12,1.10693E+19,2.46693E+25,5.4979E+31,1.22528E+38,2.73071E+44,6.08577E+50,3737,13965169,52187836553,1.95026E+14,7.28812E+17,2.72357E+21,1.0178E+25,3.80351E+28,2861
2228213.112,4.96493E+12,1.10629E+19,2.46506E+25,5.49267E+31,1.22388E+38,2.72707E+44,6.0765E+50,4184,17505856,73244501504,3.06455E+14,1.28221E+18,5.36476E+21,2.24461E+25,9.39147E+28,2834
2227788.758,4.96304E+12,1.10566E+19,2.46318E+25,5.48744E+31,1.22249E+38,2.72344E+44,6.06725E+50,4632,21455424,99381523968,4.60335E+14,2.13227E+18,9.87669E+21,4.57488E+25,2.11909E+29,2807
2227363.448,4.96115E+12,1.10503E+19,2.4613E+25,5.48221E+31,1.22109E+38,2.7198E+44,6.05799E+50,5079,25796241,1.31019E+11,6.65446E+14,3.3798E+18,1.7166E+22,8.71861E+25,4.42818E+29,2779
2226938.142,4.95925E+12,1.1044E+19,2.45942E+25,5.47698E+31,1.21969E+38,2.71617E+44,6.04874E+50,5526,30536676,1.68746E+11,9.32489E+14,5.15293E+18,2.84751E+22,1.57353E+26,8.69535E+29,2750
2226511.837,4.95735E+12,1.10376E+19,2.45754E+25,5.47173E+31,1.21829E+38,2.71253E+44,6.03949E+50,5974,35688676,2.13204E+11,1.27368E+15,7.60897E+18,4.5456E+22,2.71554E+26,1.62226E+30,2720
2226085.557,4.95546E+12,1.10313E+19,2.45566E+25,5.4665E+31,1.21689E+38,2.7089E+44,6.03024E+50,6421,41229241,2.64733E+11,1.69985E+15,1.09147E+19,7.00835E+22,4.50006E+26,2.88949E+30,2690
2225657.32,4.95355E+12,1.10249E+19,2.45377E+25,5.46124E+31,1.21549E+38,2.70525E+44,6.02097E+50,6868,47169424,3.2396E+11,2.22495E+15,1.5281E+19,1.0495E+23,7.20795E+26,4.95042E+30,2659
2225229.065,4.95164E+12,1.10185E+19,2.45188E+25,5.45599E+31,1.21408E+38,2.70161E+44,6.01171E+50,7316,53523856,3.91581E+11,2.8648E+15,2.09589E+19,1.53335E+23,1.1218E+27,8.2071E+30,2629
