ADJUSTED G VALUE,,,,,,787-8 RAW DATA FROM PIANO X (< 3000 ROC),,,,787-9 NO PREADJUSTED FUEL BURNT & ROC (< 3000 ROC),,,,,9.80665
Altitude (feet) ,Altitude (m)*,Adjusted G*,RANGE (NM),PAYLOAD (KG),MASS INIT (KG) ,Fuel Burnt (kg) ,Altitude (feet) ,ROC (feet/min) ,,Fuel Burnt (kg) ,Weight (N)**,Altitude (feet) ,ROC (feet/min),,63710088
35,10.66799966,9.806646716,7400,STANDARD,227818,0,35,2357,,0,2234130.642,35,2357,,
198,60.35039807,9.806631421,,,,20.8,198,2349,,20.8,2233923.179,198,2349,,
361,110.0327965,9.806616126,,,,41.7,361,2341,,41.7,2233714.737,361,2341,,
523,159.4103949,9.806600925,,,,62.5,523,2333,,62.5,2233507.297,523,2333,,
686,209.0927933,9.806585631,,,,83.3,686,2325,,83.3,2233299.837,686,2325,,
849,258.7751917,9.806570336,,,,104.2,849,2317,,104.2,2233091.396,849,2317,,
1012,308.4575901,9.806555041,,,,125,1012,2309,,125,2232883.937,1012,2309,,
1174,357.8351885,9.806539841,,,,145.8,1174,2301,,145.8,2232676.5,1174,2301,,
1337,407.517587,9.806524546,,,,166.7,1337,2293,,166.7,2232468.061,1337,2293,,
1500,457.1999854,9.806509251,,,,187.5,1500,2285,,187.5,2232260.604,1500,2285,,
1500,457.1999854,9.806509251,,,,340.8,1500,2993,,340.8,2230757.266,1500,2993,,
1947,593.445581,9.806467309,,,,383.1,1947,2967,,383.1,2230332.912,1947,2967,,
2395,729.9959766,9.806425273,,,,425.3,2395,2941,,425.3,2229909.52,2395,2941,,
2842,866.2415723,9.806383331,,,,467.5,2842,2914,,467.5,2229486.153,2842,2914,,
3289,1002.487168,9.806341389,,,,509.8,3289,2888,,509.8,2229061.81,3289,2888,,
3737,1139.037564,9.806299354,,,,552.1,3737,2861,,552.1,2228637.448,3737,2861,,
4184,1275.283159,9.806257413,,,,594.4,4184,2834,,594.4,2228213.112,4184,2834,,
4632,1411.833555,9.806215378,,,,636.7,4632,2807,,636.7,2227788.758,4632,2807,,
